Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Iacob C., Faily S.","57201949677;26435167600;","The impact of undergraduate mentorship on student satisfaction and engagement, teamwork performance, and team dysfunction in a software engineering group project",2020,"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",,,,"128","134",,,"10.1145/3328778.3366835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081563461&doi=10.1145%2f3328778.3366835&partnerID=40&md5=4c91a3c718aa72d0ac633272b7a07849","Mentorship schemes in software engineering education usually involve professional software engineers guiding and advising teams of undergraduate students working collaboratively to develop a software system. With or without mentorship, teams run the risk of experiencing team dysfunction: a situation where lack of engagement, internal conicts, and/or poor team management lead to dierent assessment outcomes for individual team members and overall frustration and dissatisfaction within the team. The paper describes a mentorship scheme devised as part of a 33 week software engineering group project course, where the mentors were undergraduate students who had recently completed the course successfully and possessed at least a year's experience as professional software engineers. We measure and discuss the impact the scheme had on: (1) student satisfaction and engagement, (2) team performance, and (3) team dysfunction. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Association for Computing Machinery","Annu. Conf. Innov. Technol. Comput. Sci. Educ. ITiCSE",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85081563461
"Perez B., Rubio A.L.","35226781700;56820309700;","A project-based learning approach for enhancing learning skills and motivation in software engineering",2020,"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",,,,"309","315",,,"10.1145/3328778.3366891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081570721&doi=10.1145%2f3328778.3366891&partnerID=40&md5=9bf3bae8a4650620a9c9cc134bacf4c3","Software engineers must be able to manage complex projects, so that skills such as teamwork, leadership or initiative are critical to their successful development. Because of this, it is fundamental that the learning of software engineering as an academic discipline provides solid links between theory and practice. Educational frameworks such as those derived from the European Higher Education Area state that student-centered approaches are a useful tool for achieving these objectives. In this context, we present a project-based learning (PBL) experience report in a software engineering program of a Spanish university. The experience is based on the formation of small heterogeneous teams, which face the initial phases of a software methodology during the development of a project close to a real one. Through a strategy of role rotation and documentation transfer, all students perform different tasks and face different challenges throughout the project. Summative assessment is also adopted, considering not only teacher ratings but also students' peer assessment. The results prove the positive effect of using PBL to improve the training of students in acquiring different skills as future software engineers. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Association for Computing Machinery","Annu. Conf. Innov. Technol. Comput. Sci. Educ. ITiCSE",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85081570721
"Ju A., Hemani A., Dimitriadis Y., Fox A.","57189384059;57205199095;6603770066;35571093800;","What agile processes shouldwe use in software engineering course projects?",2020,"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",,,,"643","649",,,"10.1145/3328778.3366864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081597724&doi=10.1145%2f3328778.3366864&partnerID=40&md5=ab645db5ffb23590bcf0a1c12cfbd625","While project-based software engineering courses aim to provide learning opportunities grounded in professional processes, it is not always possible to replicate every process in classrooms due to course constraints. Previous studies observed how students react to various processes and gave retroactive recommendations. In this study, we instead combine a field study on professional Agile (eXtreme Programming, XP) teams and an established team process taxonomy to proactively select team processes to incorporate in a project-based software engineering course. With collected knowledge from the field study, we choose three XP processes to augment the design of a mature software engineering project course. We choose processes that are 1) considered important by professionals, and 2) complete with respect to coverage of the taxonomy's main categories.We then compare the augmented course design with the original design in a case study. Our results suggest that 1) even without extra resources, adding these new processes does not interfere with learning opportunities for XP processes previously existing in the course design; 2) student teams experience similar benefits from these new processes as professional teams do, and students appreciate the usefulness and value of the processes. In other words, our approach allows instructors to make conscious choices of XP processes that improve student learning outcomes while exposing students to a more complete set of processes and thus preparing them better for professional careers. Course designers with limited resources are encouraged to use our methodology to evaluate and improve the designs of their own project-based courses. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Association for Computing Machinery","Annu. Conf. Innov. Technol. Comput. Sci. Educ. ITiCSE",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85081597724
"Jaime A., Olarte J.J., Garcia-Izquierdo F.J., Dominguez C.","6603621564;56278101400;27567718000;36185069000;","The Effect of Internships on Computer Science Engineering Capstone Projects",2020,"IEEE Transactions on Education","63","1", 8782630,"24","31",,1,"10.1109/TE.2019.2930024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070375099&doi=10.1109%2fTE.2019.2930024&partnerID=40&md5=21f57ac3732516a497510a8840f2b40f","Contribution: Internships designed to provide training and an initial period of contact with industry, prior to a computer science engineering capstone project, have a very positive impact on both industry and academic capstone projects. Background: Internships and capstone projects are widely used to integrate work-related learning in computer engineering curricula. Both activities offer numerous benefits for students, industry, and academia. Although their effects have been extensively studied separately, the interaction between them remains unexplored. Research Questions: What is the effect of internships on the development of a subsequent capstone project? Methodology: The hypothesis was that the completion of an internship will have positive effects on several aspects of the capstone projects: 1) improved student competencies; 2) improved capstone project outcomes; and 3) decreased supervision effort. Further, these positive effects were expected to be greater in industry-based projects than in academic projects. The hypothesis was tested through a quantitative study of data collected from 274 computer science engineering capstone projects. A period of time with internships was compared with another period without internships, and differentiating between academic and industry projects. Findings: Internships prior to capstone projects improve student skills in autonomy, technology, methodology, and project management; increase the complexity and technological novelty of the resulting projects; and reduce advisor involvement in practical (technology, execution) and keep-the-project-alive issues, and increase advisor involvement in monitoring student work (meetings, reports, and initial arrangements). This effect was observed in both industrial and academic projects. © 1963-2012 IEEE.","Institute of Electrical and Electronics Engineers Inc.","IEEE Trans Educ",Article,"Final",,Scopus,2-s2.0-85070375099
"Billings S., England M.","57214870660;55253384400;","First Year Computer Science Projects at Coventry University Activity-led integrative team projects with continuous assessment",2020,"ACM International Conference Proceeding Series",,,,"","",,1,"10.1145/3372356.3372358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079354573&doi=10.1145%2f3372356.3372358&partnerID=40&md5=c2fae7d3f72e5454c532234c352d9120","We describe the group projects undertaken by first year undergraduate Computer Science students at Coventry University. These are integrative course projects: designed to bring together the topics from the various modules students take, to apply them as a coherent whole. They follow an activity-led approach, with students given a loose brief and a lot of freedom in how to develop their project. We outline the new regulations at Coventry University which eases the use of such integrative projects. We then describe our continuous assessment approach: where students earn a weekly mark by demonstrating progress to a teacher as an open presentation to the class. It involves a degree of self and peer assessment and allows for an assessment of group work that is both fair, and seen to be fair. It builds attendance, self-study / continuous engagement habits, public speaking / presentation skills, and rewards group members for making meaningful individual contributions. © 2020 Association for Computing Machinery.","Association for Computing Machinery","ACM Int. Conf. Proc. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85079354573
"Brosens L.","57211280866;","Self-regulating Soft skills in group project-based design education",2020,"Proceedings of the International ACM SIGGROUP Conference on Supporting Group Work",,,,"1","5",,,"10.1145/3323994.3371013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078360704&doi=10.1145%2f3323994.3371013&partnerID=40&md5=e253e26ed1ac87e332732a285c32449c","Design education finds itself at a crossroad, having to deal with an emerging industry 4.0 and global issues such as, sustainability. The engineering design curriculum needs to arm students with 21st century soft skills to be able to cope with an ever-evolving world. One of the most important soft skills is self-regulation, so that students can adapt to changing situations; know what skills they are lacking; and function efficiently in a multidisciplinary team. This application includes an introduction to self-regulation in design education. Additionally, it includes the setup and findings of a first pilot study the Ph.D. researcher conducted. The study used an online platform to assess students' involvement in a team and the group dynamics within the team. Afterwards the results were communicated and students were asked to reflect and propose solutions for group related challenges. Lastly, this application includes an overview of the reasons why the Ph.D. researcher would like to participate in the doctoral colloquium. © 2020 Copyright is held by the owner/author(s). Publication rights","Association for Computing Machinery","Proc Int ACM SIGGROUP Conf Support Group Work",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85078360704
"Halabi O.","57203219290;","Immersive virtual reality to enforce teaching in engineering education",2020,"Multimedia Tools and Applications","79","3-4",,"2987","3004",,,"10.1007/s11042-019-08214-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076378089&doi=10.1007%2fs11042-019-08214-8&partnerID=40&md5=c45cc1591a109ce111382a9f55000f8d","Prior studies on the use of digital prototyping and virtual reality (VR) in designing as well as evaluating new products have shown that VR reduces both development time and costs whilst augmenting student motivation and creativity. The current study demonstrates that VR and 3D prototyping in the context of project-based learning (PBL) promote effective communication, increase problem solving skills, and enhance learning outcomes. VR and digital prototyping have been extensively used in industries for the purpose of product design and usability evaluation. In the context of engineering education, many research studies have attempted to explore the effect of VR on teamwork, engagement, retention, and motivation. In this paper, VR is used in conjunction with PBL in self-directed approach to design and implement a product using 3D software whilst also using virtual reality immersive CAVE display to evaluate their design. The hypothesis is that the use of VR with a project-based-learning approach to facilitate the attainment of desirable goals in the engineering design project, improved achievement of course learning outcomes and promoted effective communication. According to the research findings, VR approach significantly affected the distribution of cumulative project grades. Students’ project grades improved, particularly the implementation component. In addition, the course outcomes related to project design were better achieved in VR approach. The communication and problem-solving skills were improved in the VR approach as compared to traditional approach. © 2019, The Author(s).","Springer","Multimedia Tools Appl",Article,"Final",Open Access,Scopus,2-s2.0-85076378089
"Usher M., Barak M.","57197728864;7006694205;","Team diversity as a predictor of innovation in team projects of face-to-face and online learners",2020,"Computers and Education","144",, 103702,"","",,1,"10.1016/j.compedu.2019.103702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072617725&doi=10.1016%2fj.compedu.2019.103702&partnerID=40&md5=2c2455d8ef84bb127439c25511b957d3","Team diversity refers to the degree of individual differences among members of a team. It was reported as bearing both positive and negative effects on the innovation capabilities of science and engineering students, learning in a traditional classroom. As web-based technologies are becoming prominent in higher education, there is a need to examine this effect among students working in online learning environments. Hence, this study was set to characterize team diversity of science and engineering students, and identify factors that might predict innovation in team projects conducted in different learning environments. This study was carried out in the settings of a nanotechnology course, delivered both on-campus and as a massive open online course (MOOC). The study compared between three groups of learners: face-to-face (F2F) university students (n = 103), online university students (n = 108), and MOOC learners (n = 109). The number of participants in each group is derived from the number of team projects that were submitted and analyzed. Applying a quasi-experimental research design, data were collected via a survey and analysis of projects' innovation. Findings showed that diversity in ‘academic discipline’ and ‘academic level’ were positive predictors of project innovation, in all three groups. Diversity in ‘mother tongue’ was found as a positive predictor of innovation for the face-to-face university students, but as a negative predictor for both online groups. Potential explanations for the differences observed between face-to-face and online learners are presented. © 2019 Elsevier Ltd","Elsevier Ltd","Comput Educ",Article,"Final",,Scopus,2-s2.0-85072617725
"Mostafapour M., Hurst A.","56453125700;57143872800;","An exploratory study of teamwork processes and perceived team effectiveness in engineering capstone design teams",2020,"International Journal of Engineering Education","36","1B",,"436","449",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078475382&partnerID=40&md5=9bcba9585b650d75eb8ce3b853ec593a","In their final year, engineering students in Canada work in teams on a design project. These projects require significant collaboration and, as such, the project's success is largely dependent on the students' teamwork. This work presents an exploratory study of capstone design teams in a large engineering school in Canada. The goal of the study was to draw valuable insights about the teamwork experiences, skills and gaps of students in capstone design teams. These insights will support evidence-based development and improvement of teamwork training for engineering students. The study was conducted in two phases. First, semi-structured interviews with 12 instructors of capstone design courses solicited their perspectives on students' capstone design teams. Findings from the instructor interviews and related literature were used to design a student survey. The survey was administered to more than six hundred fourth-year engineering students to further explore capstone design teams' dynamics.Wecollected information on students' team formation, distribution of tasks and roles in teams, project management methods used, and the different types of conflicts experienced. In addition, we investigated the potential links between those variables and team effectiveness and enjoyment. In general, our results provide strong evidence that having clear roles, a high degree of a match between students' interests and skills with their assigned tasks, similar expectations about the outcomes, a clear project management plan, and lower levels of conflicts in student teams are significantly correlated with perceived team effectiveness and enjoyment. We discuss the implications of our findings for targeted instructional interventions on required teamwork skills for students. © 2020 TEMPUS Publications.","Tempus Publications","Int. J. Eng. Educ.",Article,"Final",,Scopus,2-s2.0-85078475382
"Reyes-Viviescas D., Ventura-Medina E., Anderson T., Mio C.","57213519947;6602640597;7403302923;57209605478;","Development of learner autonomy in student-centred learning environments in engineering",2020,"SEFI 47th Annual Conference: Varietas Delectat... Complexity is the New Normality, Proceedings",,,,"899","908",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077810854&partnerID=40&md5=337849e7fb58e4ba2542c9a5a672f1d7","Engineering graduates are required not only to have strong communication, problem-solving and teamwork skills but also the ability to face and adapt to new situations [1]. Hence, there is an evident need for developing life-long learning skills and particularly in fostering self-regulation of learning in engineering programmes. Project-Based Learning (PjBL) is a teaching pedagogy that supports the development of intellectual skills and autonomy through self-regulation. Individual self-regulation of learning has been studied over the years in a range of education situations [7,14]. As teamwork becomes commonplace in education, the need to study team regulation has become apparent and models that include social and cognitive processes during teamwork have emerged [2]. However, new empirical evidence is still required to develop models of shared regulation in groups. This study builds on the body of empirical evidence about shared regulation focusing on Project-Based Learning environments. It investigates how teams of engineering students actually develop shared team regulation and how this is related to individuals' self-regulation. The study uses data from students' project meetings during a one-semester long project as part of a Chemical Process design course. As the emphasis of the study is in describing and analysing how shared regulation takes place within a group context, focusing the attention on verbal and non-verbal mechanisms as indicators of shared regulation displayed by the students; naturalistic data of teams of students are gathered while carrying out PjBL meetings (~5) via video recording (~10 hours). Transcripts of conversations/actions are coded in the first instance to describe what takes place and then to support the analysis. These data enable the identification of elements of regulatory behaviour as displayed through language. © 2020 SEFI 47th Annual Conference: Varietas Delectat... Complexity is the New Normality, Proceedings. All rights reserved.","European Society for Engineering Education (SEFI)","SEFI Annu. Conf.: Var. Delect.... Complex. New Norm., Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85077810854
"Daun M., Tenbergen B.","36245275800;23398625300;","Teaching requirements engineering with industry case examples",2020,"CEUR Workshop Proceedings","2531",,,"49","50",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080963923&partnerID=40&md5=0d56689b951980c3f92931781f5cc962","Project-based learning has proven useful in software engineering education to increase student engagement and learning performance. In this paper, we illustrate our experiences from applying industry projects in graduate and undergraduate requirements engineering courses in Germany and in the United States. We furthermore discuss our experiences in light of differences between graduate and undergraduate students as well as between the educational systems. Results show that our course design is well received in both countries in terms of learning outcomes, student motivation, teamwork, attention to detail, and performance in the exam. Copyright © 2020 for this paper by its authors.","CEUR-WS","CEUR Workshop Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85080963923
"Jalinus N., Syahril, Nabawi R.A., Arbi Y.","57202285594;41862411700;57204101502;57202280139;","How project-based learning and direct teaching models affect teamwork and welding skills among students",2020,"International Journal of Innovation, Creativity and Change","11","11",,"85","111",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083067600&partnerID=40&md5=4369157c59ed70800d5bb6bece94cbfd","In the twenty-first century, many employers prefer candidates whose soft skills exceed their hard skills. In this article, the researcher compares project-based learning models and direct teaching, for welding skills and teamwork skills among vocational high education students. Welding skills are seen as hard skills and teamwork skills are viewed as soft skills. The research method used was experimental research. The results show that with the implementation of a project-based learning model, learning activities students have higher teamwork than welding skills, while with the implementation of a direct teaching model, learning activities students have higher welding skills than teamwork skills. This study shows that the implementation of different learning models, and the different competence ratio of hard skills and soft skills owned by students in a model of project-based learning, is very appropriate for twenty-first century learning that prioritises learning outcomes owned by students higher on soft skills. © 2020 Primrose Hall Publishing Group.","Primrose Hall Publishing Group","Int. J. Innov. Creat. Change",Article,"Final",,Scopus,2-s2.0-85083067600
