"Document Title";Authors;"Author Affiliations";"Publication Title";Date Added To Xplore;"Publication Year";"Volume";"Issue";"Start Page";"End Page";"Abstract";"ISSN";ISBNs;"DOI";Funding Information;PDF Link;"Author Keywords";"IEEE Terms";"INSPEC Controlled Terms";"INSPEC Non-Controlled Terms";"Mesh_Terms";Article Citation Count;"Reference Count";"License";"Online Date";Issue Date;"Meeting Date";"Publisher";Document Identifier
"Combining Mastery Learning with Project-Based Learning in a First Programming Course: An Experience Report";"M. Jazayeri";"Univ. of Lugano; Lugano; Switzerland";"2015 IEEE/ACM 37th IEEE International Conference on Software Engineering";"";"2015";"2";"";"315";"318";"One of the challenges in teaching a first programming course is that in the same course; the students must learn basic programming techniques and high level abstraction abilities; and the application of those techniques and concepts in problem solving and (engineering) design. To confront this challenge; in previous years; we have included a project-based learning phase at the end of our course to encourage the acquisition of high level design and creativity. To address some of the shortcomings of our previous editions; we have recently included a mastery phase to the course. While project-based learning is suitable for teaching high-level skills that require design and creativity and prepare the students for the study of software engineering; mastery-based learning is suitable for concrete skills such as basic programming tasks. Our particular innovation is to allow students into the project phase only if they have demonstrated a minimum predefined competency level in programming. The combination of the two approaches seems to address most of the requirements of a first programming course. We present our motivation for combining the two pedagogical techniques and our experience with the course.";"1558-1225";"978-1-4799-1934-5";"10.1109/ICSE.2015.163";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7202980";"first programming course;mastery learning;project-based learning;CS1/CS2;introductory programming;software engineering education";"Programming profession;Education;Software engineering;Concrete;Software;Java";"computer science education;educational courses;programming;teaching";"mastery learning;project-based learning;programming course;basic programming techniques;high level abstraction abilities;high-level skills teaching;programming competency level";"";"5";"10";"";"";"";"";"IEEE";"IEEE Conferences"
"Strategies for Good Performance of Project Based Learning Methodology";"E. Ramirez";"Universidad de Ingenieria y Tecnologia - UTEC; Lima; Perú";"2019 IEEE World Conference on Engineering Education (EDUNINE)";"";"2019";"";"";"1";"5";"The study objective is to determine satisfaction level of the developed classes with energy engineering students; using a Project-Based Learning method. It was used as research methodology; surveys; which were taken by all students at the end of each class in a period of three consecutive academic semesters 2017-2018. Evaluation was made to 15 students of which 27% are women. Qualification was of the qualitative type and all of them considered that course topics have practical applicability in their professional career; which is aligned with PBL methodology. Of 135 answers to each of the 5 questions that in a total make 675 answers; 50% were Excellent; 44% Good and only 6% considered Normal; and in no case did they consider need to improve. This paper makes reference to different strategies applied. PBL methodology allows students to feel empowered in teaching-learning process; through their opinions; conduction of activities; reflection; teamwork; etc.";"";"978-1-7281-1666-2";"10.1109/EDUNINE.2019.8875784";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8875784";"Project-Based Learning;methodology;survey;strategy;empowered;critical thinking;problem solve;teamwork";"Engineering profession;Qualifications;Teamwork;Problem-solving;Creativity;Energy efficiency";"computer aided instruction;educational courses;power engineering computing;power engineering education;teaching";"PBL methodology;professional career;course topics;consecutive academic semesters;teaching-learning process;project based learning methodology;energy engineering students";"";"";"7";"";"";"";"";"IEEE";"IEEE Conferences"
"Application of TRIZ theory in problem based learning";"J. Jin-gang; S. Xiu-lin; Y. Wei; L. Ning; Z. Jian-yi";"School of Mechanical and Power Engineering; Harbin University of Science and Technology Harbin; China; School of Mechanical and Power Engineering; Harbin University of Science and Technology Harbin; China; Center of Higher Education Research and Education Quality Evaluation; Harbin University of Science and Technology; Harbin; China; School of Automation; Harbin University of Science and Technology Harbin; China; School of Mechanical and Power Engineering; Harbin University of Science and Technology Harbin; China";"2015 10th International Conference on Computer Science & Education (ICCSE)";"";"2015";"";"";"905";"909";"According to the requirement for creative talents; how to train engineering undergraduate' innovative consciousness and engineering practice ability; have become a key part of China higher education. First; the engineering undergraduate' innovative situation is analyzed. Based on the elaborating of the TRIZ traditional theoretical system and problem based learning approach; we synthesize problem based learning approach and TRIZ innovation theory as TRIZ-PBL theory. Cultivation pattern of undergraduate's innovative ability and engineering practice ability based on TRIZ-PBL theory is established. Application example; platform and effect of TRIZ theory in problem based learning are studied. Cultivation pattern based TRIZ-PBL theory enables the undergraduates to take part in innovation and put into practice innovation. This provides assistance for the cultivation of innovative consciousness and engineering practice ability.";"";"978-1-4799-6600-4";"10.1109/ICCSE.2015.7250378";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7250378";"problem based learning;TRIZ theory;innovative education;engineering undergraduates";"Technological innovation;Training;Computer science;Engineering education;Climbing robots;Educational robots";"engineering education;further education";"engineering undergraduate innovative consciousness;engineering practice ability;China higher education;engineering undergraduate innovative situation;problem based learning approach;TRIZ innovation theory;cultivation pattern based TRIZ-PBL theory";"";"";"17";"";"";"";"";"IEEE";"IEEE Conferences"
"Research on teaching operating systems course using problem-based learning";"H. Yi-Ran; Z. Cheng; Y. Feng; Y. Meng-Xiao";"School of Computer and Electronics and Information Guangxi University; Nanning; Guangxi; 530004; China; School of Computer and Electronics and Information Guangxi University; Nanning; Guangxi; 530004; China; School of Computer and Electronics and Information Guangxi University; Nanning; Guangxi; 530004; China; School of Computer and Electronics and Information Guangxi University; Nanning; Guangxi; 530004; China";"2010 5th International Conference on Computer Science & Education";"";"2010";"";"";"691";"694";"Problem-based learning is a popular approach in the medical profession constructivist teaching model. In this paper; the problem-based learning teaching mode is analyzed and is applied into teaching operating system course. We design problem-based teaching and learning projects; investigate the arising key problems in the teaching practice; and propose some thought of reforming Operating Systems course teaching using problem-based learning mode.";"";"978-1-4244-6005-2";"10.1109/ICCSE.2010.5593517";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5593517";"Problem-based learning;Teaching practice;Operating Systems";"Education;Operating systems;Problem-solving;Materials;Program processors;System recovery;Computer science";"computer aided instruction;computer science education;educational courses;operating systems (computers);teaching";"problem based learning;medical profession;teaching operating system course;learning project";"";"3";"6";"";"";"";"";"IEEE";"IEEE Conferences"
"Improving Retention and Confidence Through Cross-Course Collaborative Project-Based Learning";"J. Winikus; L. Ziarek; C. Alphonce; J. Hartloff";"Department of Computer Science and Engineering; University at Buffalo; State University of New York; Buffalo; 14260; New York; Department of Computer Science and Engineering; University at Buffalo; State University of New York; Buffalo; 14260; New York; Department of Computer Science and Engineering; University at Buffalo; State University of New York; Buffalo; 14260; New York; Department of Computer Science and Engineering; University at Buffalo; State University of New York; Buffalo; 14260; New York";"2018 IEEE Frontiers in Education Conference (FIE)";"";"2018";"";"";"1";"5";"This work in progress introduces cross-course collaborative; project-based learning; or C3 PBL. C3 PBL builds on established collaborative project-based learning ideas that have been shown to improve retention at various institutions; by introducing collaboration that spans multiple courses in the same term. We discuss how such a collaboration between students in different courses can change the undergraduate educational experience to improve retention; community; and self-confidence. For our work we are focusing on a curriculum based approach; leveraging collaborative project-based learning experiences to affect the mindset and culture of our department. We present lessons learned from an initial pilot of C3 PBL deployed over two semesters. The pilot looks at the pairing of introductory level courses with an upper level software engineering class. The collaboration is centered on the idea of experienced students in the upper level software engineering course working with novice students from the introductory courses. The logistics explored has lead to more meaningful interaction and assessment in the second semester offering of C3 PBL.";"2377-634X";"978-1-5386-1174-6";"10.1109/FIE.2018.8658509";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8658509";"";"Collaboration;Software engineering;Software;Testing;Programming;Sociology;Statistics";"computer aided instruction;computer science education;educational courses;further education;groupware;software engineering;teaching";"curriculum based approach;introductory level courses;upper level software engineering course;established collaborative project-based;multiple courses;cross-course collaborative project-based learning;C3 PBL;software engineering course";"";"";"26";"";"";"";"";"IEEE";"IEEE Conferences"
"Problem-based learning in civil engineering education";"L. Zeng; C. Xu";"School of Urban Construction; Yangtze University; Jingzhou; 434023; China; School of Urban Construction; Yangtze University; Jingzhou; 434023; China";"2010 2nd International Conference on Education Technology and Computer";"";"2010";"3";"";"V3-41";"V3-43";"Courses relevant to the professional skills that are important for civil engineering practice; such as communication; teamwork; project management; and an understanding of the relationship between engineering and society are not given in the current teaching system. This paper is to contribute to the conversation about undergraduate education and the increased technical skills requested by the structural engineering profession. Problem-based learning is presented as a strategy for expanding the civil engineering curriculum to include concentrated study and a problem-solving experience. The feasibility and procedure of problem-based learning applying to civil engineering teaching is introduced; and application effect is presented by an actual teaching case.";"2155-1812";"978-1-4244-6370-1";"10.1109/ICETC.2010.5529601";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5529601";"Problem-based learning;civil engineering;teaching practice";"Civil engineering;Problem-solving;Computer science education;Systems engineering education;Teamwork;Educational technology;Conference management;Project management;Technology management;Engineering management";"engineering education;professional aspects;project management;structural engineering;teaching;team working";"problem-based learning;civil engineering education;professional skills;project management;teamwork;teaching system;structural engineering profession";"";"1";"6";"";"";"";"";"IEEE";"IEEE Conferences"
"Smart Headphones Using Active Noise Cancellation - A Case Study for Project Based Learning";"V. N. Hegde";"Dept. of Electron. & Instrum. Eng.; B.M.S Coll. of Eng.; Bangalore; India";"2017 5th IEEE International Conference on MOOCs; Innovation and Technology in Education (MITE)";"";"2017";"";"";"101";"107";"Project based learning (PBL) in Engineering is an alternate for traditional pedagogy in which the learner will gain knowledge and skills by developing a solution for an authentic problem in a specified duration. Since it can be framed as continuous engaging activity; the number of topics of the course syllabi gets delivered in the process. A case study approach for a course titled `Digital Signal Processing (DSP)' is presented; as an example for PBL. The problem statement chosen for the PBL implementation is to illustrate a novel concept of Smart Headphones using Active Noise Cancellation and speech recognition. The PBL project is designed to address the contemporary issue of speech recognition in multimedia headphone to make it smart at a low cost. The prototype design based on principles of Active Noise Cancellation (ANC) is achieved using a processor; TMS320C5416. The sub tasks of this project are correlated to different topics of the course of DSP syllabus. The sub task implementation; evaluation and mapping help to attain the outcomes of the course by means of PBL. The hands on experiments carried out with the DSP processor in implementing the proposed project in stages provide the better and ease of understanding of the course. An evaluation of stage wise implementation as compared to the corresponding evaluation modules of traditional DSP course delivery has been presented.";"";"978-1-5386-3189-8";"10.1109/MITE.2017.00024";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8596699";"Noise-Cancellation;-Real-time-processing;-Project-based-learning;-Assessment-of-tasks";"Headphones;Task analysis;Noise cancellation;Speech recognition;Instruments;Education;Planning";"active noise control;computer science education;educational courses;electrical engineering education;headphones;signal processing;speech recognition;student experiments";"problem statement;active noise cancellation;DSP course delivery;smart headphones;project based learning;ANC;digital signal processing course;multimedia headphones;PBL project;speech recognition";"";"";"9";"";"";"";"";"IEEE";"IEEE Conferences"
"The Moway mobile robot: A tool for project-based learning in Computer Science";"";"";"2017 IEEE Global Engineering Education Conference (EDUCON)";"";"2017";"";"";"1299";"1303";"This work presents the teaching experience performed in the subject “Intelligent Systems. Applications” using the project-based learning methodology. The students develop the projects using Moway mobile robots. The procedure followed in the project; as well as results and conclusions reached after two- year experience; is described.";"2165-9567";"978-1-5090-5467-1";"10.1109/EDUCON.2017.7943015";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943015";"Project-Based Learning;Robot;Artificial Intelligence;Intelligent Systems";"Robot sensing systems;Educational robots;Mobile robots;Education;Artificial intelligence";"educational robots;mobile robots;teaching";"Moway mobile robot;computer science;project-based learning methodology;teaching experience";"";"";"15";"";"";"";"";"IEEE";"IEEE Conferences"
"Improving undergraduates' teamwork skills by adapting project-based learning methodology";"H. Jun";"Department of Computer Science and Technology; China Jiliang University; Hangzhou; Zhejiang; China";"2010 5th International Conference on Computer Science & Education";"";"2010";"";"";"652";"655";"Since the capability to work in teams has become a key requirement on computer science graduates; computer education not only embraces technical skills of computer development but also necessitates communication and interaction among learners. In this paper; it is proposed to adapt the PBL methodology that is especially designed to be integrated into computer curricula in order to promote collaborative learning environment; which can greatly help computer undergraduates better understand the significance of social aspects and improve their teamwork skills and innovation. Results from our first 3 years indicate the methodology is manageable and effective for increasing students' teamwork capability; which has led to a dramatic increase in the amount of undergraduate involvement in the teamwork project in our department and resulted in the employment rate of our graduates and student employability confidence being increased greatly.";"";"978-1-4244-6005-2";"10.1109/ICCSE.2010.5593527";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5593527";"Computer Science Education;Teamwork Skills;Project-based Learning";"Teamwork;Games;Computers;Education;Employment;Programming";"computer science education;educational courses;social sciences;team working";"undergraduates teamwork skills;project-based learning methodology;computer science graduates;computer education;technical skills;computer development;PBL methodology;computer curricula;collaborative learning environment;computer undergraduates;social aspects;innovation;undergraduate involvement;teamwork project";"";"9";"9";"";"";"";"";"IEEE";"IEEE Conferences"
"Employing project-based learning to address the Next Generation mathematics standards in high schools";"A. Naz; Mingyu Lu; K. Hatipoglu; K. Rambo-Hernandez";"West Virginia University Institute of Technology; Montgomery; USA; West Virginia University Institute of Technology; Montgomery; USA; West Virginia University Institute of Technology; Montgomery; USA; College of Education and Human Services; West Virginia University; Morgantown; USA";"2016 IEEE Frontiers in Education Conference (FIE)";"";"2016";"";"";"1";"5";"In the summer of 2015; a five-day professional development workshop was held at West Virginia University Institute of Technology; located in Montgomery; West Virginia; with the objective of providing systematic training of project-based learning to high school math teachers. Twenty-two teachers participated in the workshop. Instructors of the workshop were faculty members from West Virginia University Institute of Technology; West Virginia University; and West Virginia State University. The workshop's focus was project-based learning; which employs projects closely related to real-world applications to facilitate delivering abstract concepts. Specifically during the workshop; the participating high school math teachers learned designing engineering projects; mapping engineering projects to Next Generation math standards/objectives; and assessing the outcomes of project-based learning. Each participating teacher is required to implement at least one engineering project in his/her math class and the results will be collected by the superintendents of the three participating school districts. The workshop has two primary hypotheses: (i) teachers who participated in the workshop will increase their self-efficacy toward implementing project-based learning; applying engineering and technology to address content standards and objectives; and using assessments to inform instruction; and (ii) project-based learning will improve students' self-efficacy and learning effectiveness in math; and in turn; will increase their interest/intention to pursue STEM disciplines. The impact of the workshop on teachers is determined through surveys and interviews. Social Cognitive Career Theory is applied to evaluate the impact of project-based learning on the participating teachers' students. Results of the surveys; interviews; and student performance will be presented at the conference.";"";"978-1-5090-1790-4";"10.1109/FIE.2016.7757359";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7757359";"high school;mathematics education;project-based learning";"Conferences;Standards;Interviews;Next generation networking;Training;Mechanical engineering";"educational institutions;engineering education;mathematics computing;teaching";"social cognitive career theory;STEM;engineering project;Montgomery;Institute of Technology;West Virginia University;high schools;next generation mathematics standards;project-based learning";"";"1";"11";"";"";"";"";"IEEE";"IEEE Conferences"
"Optoelectronic instrument experiments course: A trial of project-based learning";"Y. Zhou; Y. Hu; L. Dong; Y. Zhao; Y. Song; Q. Hao";"School of Opto-Electronics; Beijing Institute of Technology; Beijing; China; School of Opto-Electronics; Beijing Institute of Technology; Beijing; China; School of Opto-Electronics; Beijing Institute of Technology; Beijing; China; School of Opto-Electronics; Beijing Institute of Technology; Beijing; China; School of Opto-Electronics; Beijing Institute of Technology; Beijing; China; School of Opto-Electronics; Beijing Institute of Technology; Beijing; China";"2012 7th International Conference on Computer Science & Education (ICCSE)";"";"2012";"";"";"1375";"1379";"We describe a curriculum for an optoelectronic instrument experimental course. As one of the required professional courses for students who major in Measurement & Control Technology and Instruments; the Optoelectronic Instrument Experiments course aims to familiarize students with the principal concepts of optoelectronic apparatus design and train students to apply this knowledge; working in teams and individually; to identify; analyze and solve problems in optoelectronic system construction. The contents of the course consist of lectures and project-based experiments including systematic analysis; design and implementation. Optoelectronic systems from real engineering projects are chosen as experimental subjects.";"";"978-1-4673-0242-5";"10.1109/ICCSE.2012.6295319";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295319";"Project-based learning;engineering-involved courses";"Instruments;Teamwork;Engineering education;Optical attenuators;Educational institutions;Optical variables measurement";"computer aided instruction;continuing professional development;educational courses;electronic engineering computing;electronic engineering education;optoelectronic devices";"Optoelectronic Instrument Experiments course;project-based learning;professional courses;Measurement & Control Technology and Instruments;optoelectronic apparatus design;optoelectronic system construction;project-based experiments;systematic analysis;engineering projects";"";"4";"7";"";"";"";"";"IEEE";"IEEE Conferences"
